date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:50	47636/47636	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:49%20GMT	http://werkstatt.fuelthemes.net/my-account/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/my-account/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:51	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2015%20Dec%202016%2005:19:51%20GMT	http://werkstatt.fuelthemes.net/checkout/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/checkout/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:52	79607/79607	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:50%20GMT	http://werkstatt.fuelthemes.net/cart/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/cart/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:53	67465/67465	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:52%20GMT	http://werkstatt.fuelthemes.net/about-us-agency/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/about-us-agency/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:55	43005/43005	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:54%20GMT	http://werkstatt.fuelthemes.net/about-us-personal/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/about-us-personal/index.html	(from http://werkstatt.fuelthemes.net/)
10:49:56	53740/53740	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:19:55%20GMT	http://werkstatt.fuelthemes.net/contact-us/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/contact-us/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:01	67551/67551	---M--	200	added ('OK')	image/jpeg	etag:%2257cd8bab-107df%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-02.jpg	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-02.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:02	109540/109540	---M--	200	added ('OK')	image/jpeg	etag:%2257cd8843-1abe4%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-01.jpg	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-01.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:03	66544/66544	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:03%20GMT	http://werkstatt.fuelthemes.net/portfolio/mindsparkle-shop/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/mindsparkle-shop/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:05	64613/64613	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:04%20GMT	http://werkstatt.fuelthemes.net/portfolio/nyt-well/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/nyt-well/index.html	(from http://werkstatt.fuelthemes.net/)
